cve_ent,nom_ent,cve_mun,nom_mun,cvegeo,cve_ageb,pobreza,pobreza_ext
29,Tlaxcala,29019,Tepetitla de Lardizábal,2901900010161,0161,"(70, 100)","(0, 20)"
29,Tlaxcala,29019,Tepetitla de Lardizábal,2901900070180,0180,"(50, 70)","(0, 20)"
29,Tlaxcala,29019,Tepetitla de Lardizábal,2901900090104,0104,"(50, 70)","(0, 20)"
29,Tlaxcala,29019,Tepetitla de Lardizábal,2901900090123,0123,"(50, 70)","(0, 20)"
29,Tlaxcala,29019,Tepetitla de Lardizábal,2901900090138,0138,"(34, 50)","(0, 20)"
29,Tlaxcala,29019,Tepetitla de Lardizábal,2901900090176,0176,"(70, 100)","(0, 20)"
29,Tlaxcala,29023,Natívitas,2902300010037,0037,"(50, 70)","(0, 20)"
29,Tlaxcala,29023,Natívitas,2902300040198,0198,"(50, 70)","(0, 20)"
29,Tlaxcala,29023,Natívitas,2902300110200,0200,"(50, 70)","(0, 20)"
29,Tlaxcala,29023,Natívitas,2902300110215,0215,"(34, 50)","(0, 20)"
29,Tlaxcala,29023,Natívitas,2902300160145,0145,"(50, 70)","(0, 20)"
29,Tlaxcala,29023,Natívitas,290230017015A,015A,"(50, 70)","(0, 20)"
29,Tlaxcala,29023,Natívitas,2902300170164,0164,"(50, 70)","(0, 20)"
29,Tlaxcala,29025,San Pablo del Monte,2902500010101,0101,"(50, 70)","(0, 20)"
29,Tlaxcala,29025,San Pablo del Monte,2902500010116,0116,"(50, 70)","(0, 20)"
29,Tlaxcala,29025,San Pablo del Monte,2902500010120,0120,"(50, 70)","(0, 20)"
29,Tlaxcala,29025,San Pablo del Monte,2902500010135,0135,"(50, 70)","(0, 20)"
29,Tlaxcala,29025,San Pablo del Monte,290250001014A,014A,"(50, 70)","(0, 20)"
29,Tlaxcala,29025,San Pablo del Monte,2902500010154,0154,"(70, 100)","(0, 20)"
29,Tlaxcala,29025,San Pablo del Monte,2902500010169,0169,"(70, 100)","(0, 20)"
29,Tlaxcala,29025,San Pablo del Monte,2902500010173,0173,"(70, 100)","(0, 20)"
29,Tlaxcala,29025,San Pablo del Monte,2902500010192,0192,"(50, 70)","(0, 20)"
29,Tlaxcala,29025,San Pablo del Monte,2902500010205,0205,"(50, 70)","(0, 20)"
29,Tlaxcala,29025,San Pablo del Monte,290250001021A,021A,"(50, 70)","(0, 20)"
29,Tlaxcala,29025,San Pablo del Monte,2902500010224,0224,"(50, 70)","(0, 20)"
29,Tlaxcala,29025,San Pablo del Monte,2902500010239,0239,"(50, 70)","(0, 20)"
29,Tlaxcala,29025,San Pablo del Monte,2902500010243,0243,"(50, 70)","(0, 20)"
29,Tlaxcala,29025,San Pablo del Monte,2902500010258,0258,"(50, 70)","(0, 20)"
29,Tlaxcala,29025,San Pablo del Monte,2902500010262,0262,"(50, 70)","(0, 20)"
29,Tlaxcala,29025,San Pablo del Monte,2902500010277,0277,"(50, 70)","(0, 20)"
29,Tlaxcala,29025,San Pablo del Monte,2902500010281,0281,"(50, 70)","(0, 20)"
29,Tlaxcala,29025,San Pablo del Monte,2902500020065,0065,"(70, 100)","(0, 20)"
29,Tlaxcala,29025,San Pablo del Monte,2902500020084,0084,"(70, 100)","(0, 20)"
29,Tlaxcala,29025,San Pablo del Monte,2902500020099,0099,"(50, 70)","(0, 20)"
29,Tlaxcala,29028,Teolocholco,2902800010052,0052,"(34, 50)","(0, 20)"
29,Tlaxcala,29028,Teolocholco,2902800010071,0071,"(50, 70)","(0, 20)"
29,Tlaxcala,29028,Teolocholco,2902800010090,0090,"(50, 70)","(0, 20)"
29,Tlaxcala,29028,Teolocholco,2902800010103,0103,"(50, 70)","(0, 20)"
29,Tlaxcala,29028,Teolocholco,2902800010118,0118,"(34, 50)","(0, 20)"
29,Tlaxcala,29028,Teolocholco,2902800010122,0122,"(50, 70)","(0, 20)"
29,Tlaxcala,29028,Teolocholco,2902800010137,0137,"(34, 50)","(0, 20)"
29,Tlaxcala,29028,Teolocholco,2902800010141,0141,"(50, 70)","(0, 20)"
29,Tlaxcala,29028,Teolocholco,2902800010156,0156,"(34, 50)","(0, 20)"
29,Tlaxcala,29028,Teolocholco,2902800020067,0067,"(34, 50)","(0, 20)"
29,Tlaxcala,29041,Papalotla de Xicohténcatl,2904100010035,0035,"(18, 34)","(0, 20)"
29,Tlaxcala,29041,Papalotla de Xicohténcatl,2904100010073,0073,"(34, 50)","(0, 20)"
29,Tlaxcala,29041,Papalotla de Xicohténcatl,2904100010088,0088,"(34, 50)","(0, 20)"
29,Tlaxcala,29041,Papalotla de Xicohténcatl,2904100010092,0092,"(50, 70)","(0, 20)"
29,Tlaxcala,29041,Papalotla de Xicohténcatl,2904100010105,0105,"(50, 70)","(0, 20)"
29,Tlaxcala,29041,Papalotla de Xicohténcatl,290410001011A,011A,"(70, 100)","(0, 20)"
29,Tlaxcala,29041,Papalotla de Xicohténcatl,2904100010124,0124,"(34, 50)","(0, 20)"
29,Tlaxcala,29041,Papalotla de Xicohténcatl,2904100010143,0143,"(34, 50)","(0, 20)"
29,Tlaxcala,29041,Papalotla de Xicohténcatl,2904100010177,0177,"(34, 50)","(0, 20)"
29,Tlaxcala,29041,Papalotla de Xicohténcatl,2904100010181,0181,"(50, 70)","(0, 20)"
29,Tlaxcala,29041,Papalotla de Xicohténcatl,2904100010209,0209,"(50, 70)","(0, 20)"
29,Tlaxcala,29041,Papalotla de Xicohténcatl,2904100010213,0213,"(50, 70)","(0, 20)"
29,Tlaxcala,29041,Papalotla de Xicohténcatl,2904100010232,0232,"(70, 100)","(0, 20)"
29,Tlaxcala,29041,Papalotla de Xicohténcatl,2904100040162,0162,"(50, 70)","(0, 20)"
29,Tlaxcala,29041,Papalotla de Xicohténcatl,2904100040247,0247,"(70, 100)","(0, 20)"
21,Puebla,21001,Acajete,2100100010118,0118,"(70, 100)","(0, 20)"
21,Puebla,21001,Acajete,2100100010160,0160,"(70, 100)","(0, 20)"
21,Puebla,21001,Acajete,2100100010175,0175,"(70, 100)","(0, 20)"
21,Puebla,21001,Acajete,210010001018A,018A,"(70, 100)","(0, 20)"
